AUSTRIA,AT,SLHB,SLHB,O,SALZBURGER LANDES-HYPOTHEKENBANK,,SALZBURG,WWW.HYPOSALZBURG.AT,SEPTEMBER 2018,ACTIVE,SEPTEMBER 2018,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,UCBA,UCBA,O,UNICREDIT BANK AUSTRIA AG,,VIENNA,WWW.BANKAUSTRIA.AT,OCTOBER 2018,ACTIVE,OCTOBER 2018,SYSTEMATIC INTERNALISER. REGISTERED FOR SYSTEMATIC INTERNALISER BUT NON-ACTIVE.
AUSTRIA,AT,WBAH,XWBO,S,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),,VIENNA,WWW.WIENERBOERSE.AT,JULY 2007,ACTIVE,JULY 2007,
AUSTRIA,AT,WBDM,XWBO,S,WIENER BOERSE AG DRITTER MARKT (THIRD MARKET),,VIENNA,WWW.WIENERBOERSE.AT,JULY 2007,ACTIVE,JULY 2007,
AUSTRIA,AT,XRCB,XRCB,O,RAIFFEISEN CENTROBANK AG - SYSTEMATIC INTERNALISER,RCB,VIENNA,WWW.RCB.AT,NOVEMBER 2017,ACTIVE,NOVEMBER 2017,SYSTEMATIC INTERNALISER.
AUSTRIA,AT,XVIE,XWBO,S,"WIENER BOERSE AG, WERTPAPIERBOERSE (SECURITIES EXCHANGE)",,VIENNA,WWW.WIENERBORSE.AT,APRIL 2011,ACTIVE,APRIL 2011,
AUSTRIA,AT,XWBO,XWBO,O,WIENER BOERSE AG,,VIENNA,WWW.WIENERBOERSE.AT,NOVEMBER 2008,ACTIVE,NOVEMBER 2008,
AZERBAIJAN,AZ,BSEX,BSEX,O,BAKU STOCK EXCHANGE,,BAKU,WWW.BSE.AZ,SEPTEMBER 2007,ACTIVE,SEPTEMBER 2007,
AZERBAIJAN,AZ,XIBE,XIBE,O,BAKU INTERBANK CURRENCY EXCHANGE,,BAKU,WWW.BBVB.ORG,JUNE 2005,ACTIVE,JUNE 2005,
BAHAMAS,BS,XBAA,XBAA,O,BAHAMAS INTERNATIONAL SECURITIES EXCHANGE,BISX,NASAU,WWW.BISXBAHAMAS.COM,JUNE 2005,ACTIVE,JUNE 2005,
BAHRAIN,BH,BFEX,BFEX,O,BAHRAIN FINANCIAL EXCHANGE,,MANAMA,WWW.BFX.BH,OCTOBER 2010,ACTIVE,OCTOBER 2010,"THE BFX IS THE FIRST MULTI-ASSET CLASS EXCHANGE IN THE MIDDLE EAST REGION AND WILL BE INTERNATIONALLY ACCESSIBLE TO TRADE CASH INSTRUMENTS, STRUCTURED PRODUCTS AND SHARIA-COMPLIANT FINANCIAL INSTRUMENTS AS WELL AS DERIVATIVES."
BAHRAIN,BH,XBAH,XBAH,O,BAHRAIN BOURSE,BSE,MANAMA,WWW.BAHRAINBOURSE.COM.BH,JUNE 2011,ACTIVE,JUNE 2011,
BANGLADESH,BD,XCHG,XCHG,O,CHITTAGONG STOCK EXCHANGE LTD.,CSE,CHITTAGONG,WWW.CSEBD.COM,JUNE 2005,ACTIVE,JUNE 2005,
BANGLADESH,BD,XDHA,XDHA,O,DHAKA STOCK EXCHANGE LTD,DSE,DHAKA,WWW.DSEBD.ORG,JUNE 2005,ACTIVE,JUNE 2005,
BARBADOS,BB,BAJM,XBAB,S,BARBADOS STOCK EXCHANGE - JUNIOR MARKET,BSE,BRIDGETOWN,WWW.BSE.COM.BB,MARCH 2013,ACTIVE,MARCH 2013,MARKET FOR SMALL COMPANIES
BARBADOS,BB,XBAB,XBAB,O,BARBADOS STOCK EXCHANGE,BSE,BRIDGETOWN,WWW.BSE.COM.BB,JUNE 2005,ACTIVE,JUNE 2005,MAIN MARKET
BELARUS,BY,BCSE,BCSE,O,BELARUS CURRENCY AND STOCK EXCHANGE,BCSE,MINSK,WWW.BCSE.BY,AUGUST 2006,ACTIVE,AUGUST 2006,
BELGIUM,BE,ALXB,XBRU,S,EURONEXT GROWTH BRUSSELS,,BRUSSELS,WWW.EURONEXT.COM,JUNE 2017,ACTIVE,AUGUST 2007,
BELGIUM,BE,BEAM,BEAM,O,MTS ASSOCIATED MARKETS,,BRUSSELS,WWW.MTSBELGIUM.COM,MAY 2017,ACTIVE,MAY 2017,
BELGIUM,BE,BELB,BELB,O,BELFIUS BANK NV/SA,,BRUSSELS,WWW.BELFIUS.COM,FEBRUARY 2018,ACTIVE,FEBRUARY 2018,
BELGIUM,BE,BELF,BELB,S,BELFIUS BANK NV/SA FIXED INCOME - SYSTEMATIC INTERNALISER,,BRUSSELS,WWW.BELFIUS.COM,FEBRUARY 2018,ACTIVE,FEBRUARY 2018,"SYSTEMATIC INTERNALISER FOR CORPORATE, COVERED AND OTHER PUBLIC BONDS ISSUED BY BELGIAN ISSUERS."
BELGIUM,BE,BKBF,BKBR,S,BNY MELLON S.A./N.V. - BRUSSELS BRANCH - SYSTEMATIC INTERNALISER,BNYM,BRUSSELS,WWW.BNYMELLON.COM,OCTOBER 2017,ACTIVE,OCTOBER 2017,SYSTEMATIC INTERNALISER.
BELGIUM,BE,BKBR,BKBR,O,BNY MELLON S.A./N.V. - BRUSSELS BRANCH,BNYM,BRUSSELS,WWW.BNYMELLON.COM,OCTOBER 2017,ACTIVE,OCTOBER 2017,
BELGIUM,BE,BLPX,BLPX,O,BELGIAN POWER EXCHANGE,BLPX,BRUSSELS,WWW.BELPEX.BE,NOVEMBER 2007,ACTIVE,NOVEMBER 2007,
BELGIUM,BE,BMTS,BEAM,S,MTS BELGIUM,,BRUSSELS,WWW.MTSBELGIUM.COM,MAY 2017,ACTIVE,NOVEMBER 2005,
BELGIUM,BE,BNPF,BNPF,O,BNP PARIBAS FORTIS SA/NV- SYSTEMATIC INTERNALISER,BNPPF SI,BRUSSELS,WWW.BNPPARIBASFORTIS.COM,DECEMBER 2017,ACTIVE,DECEMBER 2017,SYSTEMATIC INTERNALISER.
BELGIUM,BE,KBCB,KBCB,O,KBC BANK NV  GROUP MARKETS - SYSTEMATIC INTERNALISER,,BRUSSELS,WWW.KBC.COM,JULY 2018,ACTIVE,JULY 2018,SYSTEMATIC INTERNALISER.
BELGIUM,BE,MLXB,XBRU,S,EURONEXT ACCESS BRUSSELS,,BRUSSELS,WWW.EURONEXT.COM,JUNE 2017,ACTIVE,AUGUST 2007,
BELGIUM,BE,MTSD,BEAM,S,MTS DENMARK,,BRUSSELS,WWW.MTSDENMARK.COM,JUNE 2017,ACTIVE,NOVEMBER 2005,
BELGIUM,BE,MTSF,BEAM,S,MTS FINLAND,,BRUSSELS,WWW.MTSFINLAND.COM,JUNE 2017,ACTIVE,NOVEMBER 2005,
BELGIUM,BE,SMBB,SMBB,O,SUMITOMO MITSUI BANKING CORPORATION - BRUSSELS BRANCH - SYSTEMATIC INTERNALISER,,BRUSSELS,WWW.SMBCGROUP.COM,JULY 2018,ACTIVE,JULY 2018,SYSTEMATIC INTERNALISER.
BELGIUM,BE,TNLB,XBRU,S,EURONEXT - TRADING FACILITY BRUSSELS,,BRUSSELS,WWW.EURONEXT.COM,APRIL 2015,ACTIVE,AUGUST 2007,
BELGIUM,BE,TNLK,XBRU,S,EURONEXT BLOCKS,,BRUSSELS,WWW.EURONEXT.COM,MAY 2019,ACTIVE,MAY 2019,MULTILATERAL TRADING FACILITY (MTF) FOR BLOCKS.
BELGIUM,BE,VPXB,XBRU,S,EURONEXT - VENTES PUBLIQUES BRUSSELS,,BRUSSELS,WWW.EURONEXT.COM,APRIL 2015,ACTIVE,AUGUST 2007,
